x,y,yaw,s,kappa,v_ref
38.1219,-13.2451,-3.14259,85.2500,0.00901,1.500
37.8695,-13.2451,-3.14034,85.5000,0.00876,1.500
37.6165,-13.2457,-3.13815,85.7500,0.00850,1.500
37.3631,-13.2469,-3.13603,86.0000,0.00822,1.500
37.1092,-13.2486,-3.13398,86.2500,0.00792,1.500
36.8548,-13.2507,-3.13200,86.5000,0.00761,1.500
36.6000,-13.2534,-3.13009,86.7500,0.00729,1.500
36.3448,-13.2566,-3.12827,87.0000,0.00695,1.500
36.0891,-13.2602,-3.12654,87.2500,0.00660,1.500
35.8330,-13.2643,-3.12489,87.5000,0.00624,1.500
35.5766,-13.2688,-3.12333,87.7500,0.00586,1.500
35.3197,-13.2737,-3.12187,88.0000,0.00547,1.500
35.0625,-13.2789,-3.12052,88.2500,0.00506,1.500
34.8050,-13.2845,-3.11926,88.5000,0.00464,1.500
34.5471,-13.2904,-3.11812,88.7500,0.00421,1.500
34.2890,-13.2966,-3.11708,89.0000,0.00376,1.500
34.0305,-13.3031,-3.11617,89.2500,0.00330,1.500
33.7718,-13.3098,-3.11537,89.5000,0.00283,1.500
33.5129,-13.3166,-3.11469,89.7500,0.00234,1.500
33.2537,-13.3237,-3.11415,90.0000,0.00184,1.500
32.9944,-13.3309,-3.11373,90.2500,0.00132,1.500
32.7349,-13.3381,-3.11345,90.5000,0.00079,1.500
32.4752,-13.3455,-3.11331,90.7500,0.00025,1.500
32.2155,-13.3528,-3.11332,91.0000,-0.00029,1.500
31.9556,-13.3601,-3.11347,91.2500,-0.00084,1.500
31.6958,-13.3674,-3.11376,91.5000,-0.00137,1.500
31.4359,-13.3746,-3.11419,91.7500,-0.00189,1.500
31.1760,-13.3817,-3.11475,92.0000,-0.00239,1.500
30.9161,-13.3885,-3.11544,92.2500,-0.00287,1.500
30.6563,-13.3952,-3.11625,92.5000,-0.00334,1.500
30.3966,-13.4017,-3.11718,92.7500,-0.00379,1.500
30.1370,-13.4079,-3.11823,93.0000,-0.00423,1.500
29.8775,-13.4138,-3.11938,93.2500,-0.00466,1.500
29.6181,-13.4194,-3.12065,93.5000,-0.00506,1.500
29.3590,-13.4247,-3.12202,93.7500,-0.00546,1.500
29.1000,-13.4296,-3.12348,94.0000,-0.00584,1.500
28.8412,-13.4341,-3.12505,94.2500,-0.00620,1.500
28.5827,-13.4381,-3.12670,94.5000,-0.00655,1.500
28.3244,-13.4417,-3.12844,94.7500,-0.00689,1.500
28.0664,-13.4449,-3.13026,95.0000,-0.00721,1.500
27.8086,-13.4476,-3.13217,95.2500,-0.00752,1.500
27.5512,-13.4498,-3.13414,95.5000,-0.00781,1.500
27.2941,-13.4514,-3.13619,95.7500,-0.00809,1.500
27.0373,-13.4525,-3.13831,96.0000,-0.00836,1.500
26.7808,-13.4531,-3.14049,96.2500,-0.00860,1.500
26.5248,-13.4531,-3.14272,96.5000,-0.00884,1.500
26.2690,-13.4525,-3.14502,96.7500,-0.00906,1.500
26.0137,-13.4513,-3.14736,97.0000,-0.00926,1.500
25.7588,-13.4496,-3.14975,97.2500,-0.00945,1.500
25.5042,-13.4472,-3.15218,97.5000,-0.00962,1.500
25.2501,-13.4442,-3.15465,97.7500,-0.00977,1.500
24.9964,-13.4405,-3.15715,98.0000,-0.00991,1.500
24.7431,-13.4363,-3.15968,98.2500,-0.01004,1.500
24.4903,-13.4314,-3.16224,98.5000,-0.01014,1.500
24.2379,-13.4258,-3.16481,98.7500,-0.01023,1.500
23.9859,-13.4197,-3.16740,99.0000,-0.01030,1.500
23.7344,-13.4128,-3.17001,99.2500,-0.01035,1.500
23.4834,-13.4054,-3.17261,99.5000,-0.01038,1.500
23.2328,-13.3973,-3.17522,99.7500,-0.01039,1.500
22.9827,-13.3885,-3.17783,100.0000,-0.01038,1.500
22.7330,-13.3792,-3.18042,100.2500,-0.01036,1.500
22.4838,-13.3692,-3.18301,100.5000,-0.01031,1.500
22.2351,-13.3585,-3.18557,100.7500,-0.01024,1.500
21.9868,-13.3473,-3.18811,101.0000,-0.01016,1.500
21.7390,-13.3354,-3.19062,101.2500,-0.01005,1.500
21.4916,-13.3230,-3.19310,101.5000,-0.00992,1.500
21.2447,-13.3100,-3.19554,101.7500,-0.00976,1.500
20.9983,-13.2964,-3.19793,102.0000,-0.00959,1.500
20.7523,-13.2822,-3.20028,102.2500,-0.00939,1.500
20.5068,-13.2675,-3.20257,102.5000,-0.00917,1.500
20.2617,-13.2522,-3.20479,102.7500,-0.00892,1.500
20.0170,-13.2365,-3.20695,103.0000,-0.00865,1.500
19.7727,-13.2203,-3.20904,103.2500,-0.00836,1.500
19.5289,-13.2035,-3.21105,103.5000,-0.00804,1.500
19.2854,-13.1864,-3.21298,103.7500,-0.00770,1.500
19.0424,-13.1688,-3.21482,104.0000,-0.00733,1.500
18.7997,-13.1507,-3.21656,104.2500,-0.00694,1.500
18.5575,-13.1323,-3.21820,104.5000,-0.00652,1.500
18.3156,-13.1136,-3.21973,104.7500,-0.00608,1.500
18.0740,-13.0945,-3.22116,105.0000,-0.00561,1.500
17.8328,-13.0751,-3.22246,105.2500,-0.00511,1.500
17.5918,-13.0554,-3.22364,105.5000,-0.00459,1.500
17.3512,-13.0355,-3.22469,105.7500,-0.00405,1.500
17.1109,-13.0154,-3.22560,106.0000,-0.00348,1.500
16.8709,-12.9951,-3.22638,106.2500,-0.00288,1.500
16.6311,-12.9746,-3.22700,106.5000,-0.00226,1.500
16.3915,-12.9540,-3.22747,106.7500,-0.00161,1.500
16.1522,-12.9334,-3.22778,107.0000,-0.00094,1.500
15.9131,-12.9127,-3.22793,107.2500,-0.00024,1.500
15.6741,-12.8920,-3.22791,107.5000,0.00048,1.500
15.4353,-12.8714,-3.22771,107.7500,0.00123,1.500
